[2023-01-29 16:45:50.008] [main] [info] git revision: 318f514ab7602a823f4e0bd93952b041e3158e6b
[2023-01-29 16:45:50.010] [MPMBase] [warning] ../include/solvers/mpm_base.tcc #71: Velocity update parameter is not specified, using default as false
[2023-01-29 16:45:50.010] [MPMBase] [warning] ../include/solvers/mpm_base.tcc #94: No math functions are defined
[2023-01-29 16:45:50.010] [MPMBase] [warning] ../include/solvers/mpm_base.tcc #166: No VTK statevariable were specified, none will be generated
[2023-01-29 16:45:50.010] [MPMExplicit] [info] MPM analysis type MPMExplicit2D
[2023-01-29 16:45:50.021] [MPMExplicit] [info] Rank 0 Read nodes: 10 ms
[2023-01-29 16:45:50.022] [MPMExplicit] [warning] #833: Euler angles are undefined Euler angles JSON not found 
[2023-01-29 16:45:50.022] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.022] [MPMExplicit] [info] Element constructed sucessfully
[2023-01-29 16:45:50.025] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.025] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.025] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.025] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.025] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.025] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.025] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.025] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.025] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.025] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.025] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.025] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.025] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.025] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.025] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.025] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.025] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.025] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.025] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.025] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.025] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.026] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.026] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.026] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.026] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.026] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.026] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.026] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.026] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.026] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.026] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.026] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.026] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.026] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.026] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.026] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.026] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.026] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.026] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.026] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.026] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.026] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.026] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.026] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.026] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.026] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.026] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.026] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.026] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.026] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.026] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.026] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.026] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.026] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.026] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.026] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.026] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.026] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.026] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-01-29 16:45:50.026] [quadrilateral::<2, 4>] [info] Constructed quad
