,Time (s),Height
0,0.0,0.0
1,0.125,-1.1252628048540032
2,0.25,-4.488831453957815
3,0.37500000000000006,-9.755861107474004
4,0.5,-14.760801778496692
5,0.625,-16.179705616460204
6,0.7500000000000001,-14.77105350413089
7,0.8750000000000001,-11.350083613711725
8,1.0,-6.721299411435631
9,1.125,-2.865635871405104
10,1.25,-1.396315094235085
11,1.3750000000000002,-3.0095437286397484
12,1.5000000000000002,-6.040460635048738
13,1.6250000000000002,-9.561173627693506
14,1.7500000000000002,-13.36709615633621
15,1.8750000000000002,-15.139357064004287
16,2.0,-13.956911071892542
17,2.125,-10.903929036999656
18,2.25,-7.43641613175194
19,2.375,-4.865511615359345
20,2.5,-3.32524921161653
21,2.625,-3.9960008385678805
22,2.7500000000000004,-6.713619960659827
23,2.8750000000000004,-9.753881448387503
24,3.0000000000000004,-12.261568034344194
25,3.1250000000000004,-13.484693228758488
26,3.2500000000000004,-13.00965311867158
27,3.3750000000000004,-10.912825328366765
28,3.5000000000000004,-7.8491274305578
29,3.6250000000000004,-5.689569622503221
30,3.7500000000000004,-4.943564687466548
31,3.8750000000000004,-5.534428538643638
32,4.0,-6.904485897009209
33,4.125,-9.385605535516163
34,4.25,-11.68343108927953
35,4.375,-12.599132838956564
36,4.5,-12.189103936347543
37,4.625,-10.734469281258143
38,4.75,-9.096013818795583
39,4.875,-7.758335068044815
40,5.0,-6.887590091584066
41,5.125,-7.239679728389973
42,5.25,-8.333911331150539
43,5.375,-9.204938476802717
44,5.500000000000001,-10.559323904945103
45,5.625000000000001,-11.02669937649437
46,5.750000000000001,-10.954811632057073
47,5.875000000000001,-10.730435537878883
48,6.000000000000001,-9.735140277001008
49,6.125000000000001,-9.076291069176712
50,6.250000000000001,-8.860503063806519
51,6.375000000000001,-8.717930303172565
52,6.500000000000001,-8.905325050162276
53,6.625000000000001,-9.333749062010781
54,6.750000000000001,-9.590373013490762
55,6.875000000000001,-10.112835878747383
56,7.000000000000001,-10.109300213815345
57,7.125000000000001,-9.969151165452843
58,7.250000000000001,-9.961325021028294
59,7.375000000000001,-9.61830817562111
60,7.500000000000001,-9.601272440598308
61,7.625000000000001,-9.568104084113934
62,7.750000000000001,-9.455123393835805
63,7.875000000000001,-9.561059371831213
64,8.0,-9.559210898306432
65,8.125,-9.601991498552891
66,8.25,-9.658144903910774
67,8.375,-9.637713947852752
68,8.5,-9.617797460504164
69,8.625,-9.654865245224599
70,8.75,-9.60824005105033
71,8.875,-9.609694683085316
72,9.0,-9.630590387965825
73,9.125,-9.634917938056297
74,9.25,-9.620367151719655
75,9.375,-9.631128767090864
76,9.5,-9.63072448001273
77,9.625,-9.636274558523304
78,9.75,-9.640337624360427
79,9.875,-9.635795019004789
80,10.0,-9.62478538234231
81,10.125,-9.634477254055646
82,10.25,-9.626721753612706
83,10.375,-9.623328406893322
84,10.5,-9.632774316374409
85,10.625,-9.632081874011085
86,10.75,-9.631218724654353
87,10.875000000000002,-9.633264516211156
88,11.000000000000002,-9.62644051700476
89,11.125000000000002,-9.629888468399216
90,11.250000000000002,-9.633775648880395
91,11.375000000000002,-9.62921069673785
92,11.500000000000002,-9.63061121631938
93,11.625000000000002,-9.633619009358561
94,11.750000000000002,-9.630284877429325
95,11.875000000000002,-9.62944066119293
96,12.000000000000002,-9.631323952223767
97,12.125000000000002,-9.631979689277024
98,12.250000000000002,-9.632647492265107
99,12.375000000000002,-9.631814559947628
