[2023-02-27 13:51:43.815] [main] [info] git revision: dc8aebadae2020cdc5e089895e30cf0375c2ebca
[2023-02-27 13:51:43.817] [MPMBase] [warning] ../include/solvers/mpm_base.tcc #71: Velocity update parameter is not specified, using default as false
[2023-02-27 13:51:43.817] [MPMBase] [warning] ../include/solvers/mpm_base.tcc #94: No math functions are defined
[2023-02-27 13:51:43.817] [MPMBase] [warning] ../include/solvers/mpm_base.tcc #166: No VTK statevariable were specified, none will be generated
[2023-02-27 13:51:43.817] [MPMExplicit] [info] MPM analysis type MPMExplicit2D
[2023-02-27 13:51:43.821] [MPMExplicit] [info] Rank 0 Read nodes: 4 ms
[2023-02-27 13:51:43.822] [MPMExplicit] [warning] #833: Euler angles are undefined Euler angles JSON not found 
[2023-02-27 13:51:43.823] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-02-27 13:51:43.823] [MPMExplicit] [info] Element constructed sucessfully
[2023-02-27 13:51:43.824] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-02-27 13:51:43.824] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-02-27 13:51:43.824] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-02-27 13:51:43.824] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-02-27 13:51:43.825] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-02-27 13:51:43.825] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-02-27 13:51:43.825] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-02-27 13:51:43.825] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-02-27 13:51:43.825] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-02-27 13:51:43.825] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-02-27 13:51:43.825] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-02-27 13:51:43.825] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-02-27 13:51:43.825] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-02-27 13:51:43.825] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-02-27 13:51:43.825] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-02-27 13:51:43.825] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-02-27 13:51:43.825] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-02-27 13:51:43.825] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-02-27 13:51:43.825] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-02-27 13:51:43.825] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-02-27 13:51:43.825] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-02-27 13:51:43.825] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-02-27 13:51:43.825] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-02-27 13:51:43.825] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-02-27 13:51:43.825] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-02-27 13:51:43.825] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-02-27 13:51:43.825] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-02-27 13:51:43.825] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-02-27 13:51:43.825] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-02-27 13:51:43.825] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-02-27 13:51:43.825] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-02-27 13:51:43.825] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-02-27 13:51:43.825] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-02-27 13:51:43.825] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-02-27 13:51:43.825] [quadrilateral::<2, 4>] [info] Constructed quad
[2023-02-27 13:51:43.825] [quadrilateral::<2, 4>] [info] Constructed quad
