902	400
0 0 0
800 0 0
0 200 0
800 200 0
0 0 1
800 0 1
800 200 1
0 200 1
20 0 0
40 0 0
60 0 0
80 0 0
100 0 0
120 0 0
140 0 0
160 0 0
180 0 0
200 0 0
220 0 0
240 0 0
260 0 0
280 0 0
300 0 0
320 0 0
340 0 0
360 0 0
380 0 0
400 0 0
420 0 0
440.0000000000001 0 0
459.9999999999999 0 0
480 0 0
500 0 0
520 0 0
540 0 0
560 0 0
580 0 0
600 0 0
620 0 0
640 0 0
660 0 0
680 0 0
700 0 0
720 0 0
740 0 0
760 0 0
780 0 0
20 200 0
40 200 0
60 200 0
80 200 0
100 200 0
120 200 0
140 200 0
160 200 0
180 200 0
200 200 0
220 200 0
240 200 0
260 200 0
280 200 0
300 200 0
320 200 0
340 200 0
360 200 0
380 200 0
400 200 0
420 200 0
440.0000000000001 200 0
459.9999999999999 200 0
480 200 0
500 200 0
520 200 0
540 200 0
560 200 0
580 200 0
600 200 0
620 200 0
640 200 0
660 200 0
680 200 0
700 200 0
720 200 0
740 200 0
760 200 0
780 200 0
0 20 0
0 40 0
0 60 0
0 80 0
0 100 0
0 120 0
0 140 0
0 160 0
0 180 0
800 20 0
800 40 0
800 60 0
800 80 0
800 100 0
800 120 0
800 140 0
800 160 0
800 180 0
20 0 1
40 0 1
60 0 1
80 0 1
100 0 1
120 0 1
140 0 1
160 0 1
180 0 1
200 0 1
220 0 1
240 0 1
260 0 1
280 0 1
300 0 1
320 0 1
340 0 1
360 0 1
380 0 1
400 0 1
420 0 1
440.0000000000001 0 1
459.9999999999999 0 1
480 0 1
500 0 1
520 0 1
540 0 1
560 0 1
580 0 1
600 0 1
620 0 1
640 0 1
660 0 1
680 0 1
700 0 1
720 0 1
740 0 1
760 0 1
780 0 1
800 20 1
800 40 1
800 60 1
800 80 1
800 100 1
800 120 1
800 140 1
800 160 1
800 180 1
780 200 1
760 200 1
740 200 1
720 200 1
700 200 1
680 200 1
660 200 1
640 200 1
620 200 1
600 200 1
580 200 1
560 200 1
540 200 1
520 200 1
500 200 1
480 200 1
459.9999999999999 200 1
440.0000000000001 200 1
420 200 1
400 200 1
380 200 1
360 200 1
340 200 1
320 200 1
300 200 1
280 200 1
260 200 1
240 200 1
220 200 1
200 200 1
180 200 1
160 200 1
140 200 1
120 200 1
100 200 1
80 200 1
60 200 1
40 200 1
20 200 1
0 180 1
0 160 1
0 140 1
0 120 1
0 100 1
0 80 1
0 60 1
0 40 1
0 20 1
20 20 0
20 40 0
20 60 0
20 80 0
20 100 0
20 120 0
20 140 0
20 160 0
20 180 0
40 20 0
40 40 0
40 60 0
40 80 0
40 100 0
40 120 0
40 140 0
40 160 0
40 180 0
60 20 0
60 40 0
60 60 0
60 80 0
60 100 0
60 120 0
60 140 0
60 160 0
60 180 0
80 20 0
80 40 0
80 60 0
80 80 0
80 100 0
80 120 0
80 140 0
80 160 0
80 180 0
100 20 0
100 40 0
100 60 0
100 80 0
100 100 0
100 120 0
100 140 0
100 160 0
100 180 0
120 20 0
120 40 0
120 60 0
120 80 0
120 100 0
120 120 0
120 140 0
120 160 0
120 180 0
140 20 0
140 40 0
140 60 0
140 80 0
140 100 0
140 120 0
140 140 0
140 160 0
140 180 0
160 20 0
160 40 0
160 60 0
160 80 0
160 100 0
160 120 0
160 140 0
160 160 0
160 180 0
180 20 0
180 40 0
180 60 0
180 80 0
180 100 0
180 120 0
180 140 0
180 160 0
180 180 0
200 20 0
200 40 0
200 60 0
200 80 0
200 100 0
200 120 0
200 140 0
200 160 0
200 180 0
220 20 0
220 40 0
220 60 0
220 80 0
220 100 0
220 120 0
220 140 0
220 160 0
220 180 0
240 20 0
240 40 0
240 60 0
240 80 0
240 100 0
240 120 0
240 140 0
240 160 0
240 180 0
260 20 0
260 40 0
260 60 0
260 80 0
260 100 0
260 120 0
260 140 0
260 160 0
260 180 0
280 20 0
280 40 0
280 60 0
280 80 0
280 100 0
280 120 0
280 140 0
280 160 0
280 180 0
300 20 0
300 40 0
300 60 0
300 80 0
300 100 0
300 120 0
300 140 0
300 160 0
300 180 0
320 20 0
320 40 0
320 60 0
320 80 0
320 100 0
320 120 0
320 140 0
320 160 0
320 180 0
340 20 0
340 40 0
340 60 0
340 80 0
340 100 0
340 120 0
340 140 0
340 160 0
340 180 0
360 20 0
360 40 0
360 60 0
360 80 0
360 100 0
360 120 0
360 140 0
360 160 0
360 180 0
380 20 0
380 40 0
380 60 0
380 80 0
380 100 0
380 120 0
380 140 0
380 160 0
380 180 0
400 20 0
400 40 0
400 60 0
400 80 0
400 100 0
400 120 0
400 140 0
400 160 0
400 180 0
420 20 0
420 40 0
420 60 0
420 80 0
420 100 0
420 120 0
420 140 0
420 160 0
420 180 0
440.0000000000001 20 0
440.0000000000001 40 0
440.0000000000001 60 0
440.0000000000001 80 0
440.0000000000001 100 0
440.0000000000001 120 0
440.0000000000001 140 0
440.0000000000001 160 0
440.0000000000001 180 0
459.9999999999999 20 0
459.9999999999999 40 0
459.9999999999999 60 0
459.9999999999999 80 0
459.9999999999999 100 0
459.9999999999999 120 0
459.9999999999999 140 0
459.9999999999999 160 0
459.9999999999999 180 0
480 20 0
480 40 0
480 60 0
480 80 0
480 100 0
480 120 0
480 140 0
480 160 0
480 180 0
500 20 0
500 40 0
500 60 0
500 80 0
500 100 0
500 120 0
500 140 0
500 160 0
500 180 0
520 20 0
520 40 0
520 60 0
520 80 0
520 100 0
520 120 0
520 140 0
520 160 0
520 180 0
540 20 0
540 40 0
540 60 0
540 80 0
540 100 0
540 120 0
540 140 0
540 160 0
540 180 0
560 20 0
560 40 0
560 60 0
560 80 0
560 100 0
560 120 0
560 140 0
560 160 0
560 180 0
580 20 0
580 40 0
580 60 0
580 80 0
580 100 0
580 120 0
580 140 0
580 160 0
580 180 0
600 20 0
600 40 0
600 60 0
600 80 0
600 100 0
600 120 0
600 140 0
600 160 0
600 180 0
620 20 0
620 40 0
620 60 0
620 80 0
620 100 0
620 120 0
620 140 0
620 160 0
620 180 0
640 20 0
640 40 0
640 60 0
640 80 0
640 100 0
640 120 0
640 140 0
640 160 0
640 180 0
660 20 0
660 40 0
660 60 0
660 80 0
660 100 0
660 120 0
660 140 0
660 160 0
660 180 0
680 20 0
680 40 0
680 60 0
680 80 0
680 100 0
680 120 0
680 140 0
680 160 0
680 180 0
700 20 0
700 40 0
700 60 0
700 80 0
700 100 0
700 120 0
700 140 0
700 160 0
700 180 0
720 20 0
720 40 0
720 60 0
720 80 0
720 100 0
720 120 0
720 140 0
720 160 0
720 180 0
740 20 0
740 40 0
740 60 0
740 80 0
740 100 0
740 120 0
740 140 0
740 160 0
740 180 0
760 20 0
760 40 0
760 60 0
760 80 0
760 100 0
760 120 0
760 140 0
760 160 0
760 180 0
780 20 0
780 40 0
780 60 0
780 80 0
780 100 0
780 120 0
780 140 0
780 160 0
780 180 0
20 20 1
20 40 1
20 60 1
20 80 1
20 100 1
20 120 1
20 140 1
20 160 1
20 180 1
40 20 1
40 40 1
40 60 1
40 80 1
40 100 1
40 120 1
40 140 1
40 160 1
40 180 1
60 20 1
60 40 1
60 60 1
60 80 1
60 100 1
60 120 1
60 140 1
60 160 1
60 180 1
80 20 1
80 40 1
80 60 1
80 80 1
80 100 1
80 120 1
80 140 1
80 160 1
80 180 1
100 20 1
100 40 1
100 60 1
100 80 1
100 100 1
100 120 1
100 140 1
100 160 1
100 180 1
120 20 1
120 40 1
120 60 1
120 80 1
120 100 1
120 120 1
120 140 1
120 160 1
120 180 1
140 20 1
140 40 1
140 60 1
140 80 1
140 100 1
140 120 1
140 140 1
140 160 1
140 180 1
160 20 1
160 40 1
160 60 1
160 80 1
160 100 1
160 120 1
160 140 1
160 160 1
160 180 1
180 20 1
180 40 1
180 60 1
180 80 1
180 100 1
180 120 1
180 140 1
180 160 1
180 180 1
200 20 1
200 40 1
200 60 1
200 80 1
200 100 1
200 120 1
200 140 1
200 160 1
200 180 1
220 20 1
220 40 1
220 60 1
220 80 1
220 100 1
220 120 1
220 140 1
220 160 1
220 180 1
240 20 1
240 40 1
240 60 1
240 80 1
240 100 1
240 120 1
240 140 1
240 160 1
240 180 1
260 20 1
260 40 1
260 60 1
260 80 1
260 100 1
260 120 1
260 140 1
260 160 1
260 180 1
280 20 1
280 40 1
280 60 1
280 80 1
280 100 1
280 120 1
280 140 1
280 160 1
280 180 1
300 20 1
300 40 1
300 60 1
300 80 1
300 100 1
300 120 1
300 140 1
300 160 1
300 180 1
320 20 1
320 40 1
320 60 1
320 80 1
320 100 1
320 120 1
320 140 1
320 160 1
320 180 1
340 20 1
340 40 1
340 60 1
340 80 1
340 100 1
340 120 1
340 140 1
340 160 1
340 180 1
360 20 1
360 40 1
360 60 1
360 80 1
360 100 1
360 120 1
360 140 1
360 160 1
360 180 1
380 20 1
380 40 1
380 60 1
380 80 1
380 100 1
380 120 1
380 140 1
380 160 1
380 180 1
400 20 1
400 40 1
400 60 1
400 80 1
400 100 1
400 120 1
400 140 1
400 160 1
400 180 1
420 20 1
420 40 1
420 60 1
420 80 1
420 100 1
420 120 1
420 140 1
420 160 1
420 180 1
440.0000000000001 20 1
440.0000000000001 40 1
440.0000000000001 60 1
440.0000000000001 80 1
440.0000000000001 100 1
440.0000000000001 120 1
440.0000000000001 140 1
440.0000000000001 160 1
440.0000000000001 180 1
459.9999999999999 20 1
459.9999999999999 40 1
459.9999999999999 60 1
459.9999999999999 80 1
459.9999999999999 100 1
459.9999999999999 120 1
459.9999999999999 140 1
459.9999999999999 160 1
459.9999999999999 180 1
480 20 1
480 40 1
480 60 1
480 80 1
480 100 1
480 120 1
480 140 1
480 160 1
480 180 1
500 20 1
500 40 1
500 60 1
500 80 1
500 100 1
500 120 1
500 140 1
500 160 1
500 180 1
520 20 1
520 40 1
520 60 1
520 80 1
520 100 1
520 120 1
520 140 1
520 160 1
520 180 1
540 20 1
540 40 1
540 60 1
540 80 1
540 100 1
540 120 1
540 140 1
540 160 1
540 180 1
560 20 1
560 40 1
560 60 1
560 80 1
560 100 1
560 120 1
560 140 1
560 160 1
560 180 1
580 20 1
580 40 1
580 60 1
580 80 1
580 100 1
580 120 1
580 140 1
580 160 1
580 180 1
600 20 1
600 40 1
600 60 1
600 80 1
600 100 1
600 120 1
600 140 1
600 160 1
600 180 1
620 20 1
620 40 1
620 60 1
620 80 1
620 100 1
620 120 1
620 140 1
620 160 1
620 180 1
640 20 1
640 40 1
640 60 1
640 80 1
640 100 1
640 120 1
640 140 1
640 160 1
640 180 1
660 20 1
660 40 1
660 60 1
660 80 1
660 100 1
660 120 1
660 140 1
660 160 1
660 180 1
680 20 1
680 40 1
680 60 1
680 80 1
680 100 1
680 120 1
680 140 1
680 160 1
680 180 1
700 20 1
700 40 1
700 60 1
700 80 1
700 100 1
700 120 1
700 140 1
700 160 1
700 180 1
720 20 1
720 40 1
720 60 1
720 80 1
720 100 1
720 120 1
720 140 1
720 160 1
720 180 1
740 20 1
740 40 1
740 60 1
740 80 1
740 100 1
740 120 1
740 140 1
740 160 1
740 180 1
760 20 1
760 40 1
760 60 1
760 80 1
760 100 1
760 120 1
760 140 1
760 160 1
760 180 1
780 20 1
780 40 1
780 60 1
780 80 1
780 100 1
780 120 1
780 140 1
780 160 1
780 180 1
0 8 200 86 4 104 551 199
86 200 201 87 199 551 552 198
87 201 202 88 198 552 553 197
88 202 203 89 197 553 554 196
89 203 204 90 196 554 555 195
90 204 205 91 195 555 556 194
91 205 206 92 194 556 557 193
92 206 207 93 193 557 558 192
93 207 208 94 192 558 559 191
94 208 47 2 191 559 190 7
8 9 209 200 104 105 560 551
200 209 210 201 551 560 561 552
201 210 211 202 552 561 562 553
202 211 212 203 553 562 563 554
203 212 213 204 554 563 564 555
204 213 214 205 555 564 565 556
205 214 215 206 556 565 566 557
206 215 216 207 557 566 567 558
207 216 217 208 558 567 568 559
208 217 48 47 559 568 189 190
9 10 218 209 105 106 569 560
209 218 219 210 560 569 570 561
210 219 220 211 561 570 571 562
211 220 221 212 562 571 572 563
212 221 222 213 563 572 573 564
213 222 223 214 564 573 574 565
214 223 224 215 565 574 575 566
215 224 225 216 566 575 576 567
216 225 226 217 567 576 577 568
217 226 49 48 568 577 188 189
10 11 227 218 106 107 578 569
218 227 228 219 569 578 579 570
219 228 229 220 570 579 580 571
220 229 230 221 571 580 581 572
221 230 231 222 572 581 582 573
222 231 232 223 573 582 583 574
223 232 233 224 574 583 584 575
224 233 234 225 575 584 585 576
225 234 235 226 576 585 586 577
226 235 50 49 577 586 187 188
11 12 236 227 107 108 587 578
227 236 237 228 578 587 588 579
228 237 238 229 579 588 589 580
229 238 239 230 580 589 590 581
230 239 240 231 581 590 591 582
231 240 241 232 582 591 592 583
232 241 242 233 583 592 593 584
233 242 243 234 584 593 594 585
234 243 244 235 585 594 595 586
235 244 51 50 586 595 186 187
12 13 245 236 108 109 596 587
236 245 246 237 587 596 597 588
237 246 247 238 588 597 598 589
238 247 248 239 589 598 599 590
239 248 249 240 590 599 600 591
240 249 250 241 591 600 601 592
241 250 251 242 592 601 602 593
242 251 252 243 593 602 603 594
243 252 253 244 594 603 604 595
244 253 52 51 595 604 185 186
13 14 254 245 109 110 605 596
245 254 255 246 596 605 606 597
246 255 256 247 597 606 607 598
247 256 257 248 598 607 608 599
248 257 258 249 599 608 609 600
249 258 259 250 600 609 610 601
250 259 260 251 601 610 611 602
251 260 261 252 602 611 612 603
252 261 262 253 603 612 613 604
253 262 53 52 604 613 184 185
14 15 263 254 110 111 614 605
254 263 264 255 605 614 615 606
255 264 265 256 606 615 616 607
256 265 266 257 607 616 617 608
257 266 267 258 608 617 618 609
258 267 268 259 609 618 619 610
259 268 269 260 610 619 620 611
260 269 270 261 611 620 621 612
261 270 271 262 612 621 622 613
262 271 54 53 613 622 183 184
15 16 272 263 111 112 623 614
263 272 273 264 614 623 624 615
264 273 274 265 615 624 625 616
265 274 275 266 616 625 626 617
266 275 276 267 617 626 627 618
267 276 277 268 618 627 628 619
268 277 278 269 619 628 629 620
269 278 279 270 620 629 630 621
270 279 280 271 621 630 631 622
271 280 55 54 622 631 182 183
16 17 281 272 112 113 632 623
272 281 282 273 623 632 633 624
273 282 283 274 624 633 634 625
274 283 284 275 625 634 635 626
275 284 285 276 626 635 636 627
276 285 286 277 627 636 637 628
277 286 287 278 628 637 638 629
278 287 288 279 629 638 639 630
279 288 289 280 630 639 640 631
280 289 56 55 631 640 181 182
17 18 290 281 113 114 641 632
281 290 291 282 632 641 642 633
282 291 292 283 633 642 643 634
283 292 293 284 634 643 644 635
284 293 294 285 635 644 645 636
285 294 295 286 636 645 646 637
286 295 296 287 637 646 647 638
287 296 297 288 638 647 648 639
288 297 298 289 639 648 649 640
289 298 57 56 640 649 180 181
18 19 299 290 114 115 650 641
290 299 300 291 641 650 651 642
291 300 301 292 642 651 652 643
292 301 302 293 643 652 653 644
293 302 303 294 644 653 654 645
294 303 304 295 645 654 655 646
295 304 305 296 646 655 656 647
296 305 306 297 647 656 657 648
297 306 307 298 648 657 658 649
298 307 58 57 649 658 179 180
19 20 308 299 115 116 659 650
299 308 309 300 650 659 660 651
300 309 310 301 651 660 661 652
301 310 311 302 652 661 662 653
302 311 312 303 653 662 663 654
303 312 313 304 654 663 664 655
304 313 314 305 655 664 665 656
305 314 315 306 656 665 666 657
306 315 316 307 657 666 667 658
307 316 59 58 658 667 178 179
20 21 317 308 116 117 668 659
308 317 318 309 659 668 669 660
309 318 319 310 660 669 670 661
310 319 320 311 661 670 671 662
311 320 321 312 662 671 672 663
312 321 322 313 663 672 673 664
313 322 323 314 664 673 674 665
314 323 324 315 665 674 675 666
315 324 325 316 666 675 676 667
316 325 60 59 667 676 177 178
21 22 326 317 117 118 677 668
317 326 327 318 668 677 678 669
318 327 328 319 669 678 679 670
319 328 329 320 670 679 680 671
320 329 330 321 671 680 681 672
321 330 331 322 672 681 682 673
322 331 332 323 673 682 683 674
323 332 333 324 674 683 684 675
324 333 334 325 675 684 685 676
325 334 61 60 676 685 176 177
22 23 335 326 118 119 686 677
326 335 336 327 677 686 687 678
327 336 337 328 678 687 688 679
328 337 338 329 679 688 689 680
329 338 339 330 680 689 690 681
330 339 340 331 681 690 691 682
331 340 341 332 682 691 692 683
332 341 342 333 683 692 693 684
333 342 343 334 684 693 694 685
334 343 62 61 685 694 175 176
23 24 344 335 119 120 695 686
335 344 345 336 686 695 696 687
336 345 346 337 687 696 697 688
