,Time (s),Terminus displacement
0,0.0,0.0
1,0.099,2.3057034128405576
2,0.198,5.822496260085757
3,0.297,9.77095881768895
4,0.396,13.938060856455877
5,0.495,18.163026715055707
6,0.594,22.3911027414282
7,0.6930000000000001,26.469759075213346
8,0.792,30.600817461797078
9,0.891,34.47821187518514
10,0.99,38.32727706206401
11,1.089,42.09488315156193
12,1.188,45.81130087425868
13,1.287,49.46144313242701
14,1.3860000000000001,53.03370874272366
15,1.485,56.588770659058014
16,1.584,60.022181945056104
17,1.683,63.4583627959953
18,1.782,66.82810903013399
19,1.881,70.18732312110001
20,1.98,73.5075317585472
21,2.079,76.74115343164567
22,2.178,80.00236328017729
23,2.277,83.1837260125759
24,2.376,86.2523897407907
25,2.475,89.3682286936355
26,2.574,92.43339894310895
27,2.673,95.46447361342939
28,2.7720000000000002,98.4630236977066
29,2.871,101.36651388742519
30,2.97,104.2857790058473
31,3.069,107.09636314366878
32,3.168,109.86719467547437
33,3.267,112.61401707360608
34,3.366,115.35550244742831
35,3.465,118.06784331672065
36,3.564,120.73582064616983
37,3.6630000000000003,123.39093080659063
38,3.762,125.96437288951097
39,3.861,128.5952890552967
40,3.96,131.1429085991657
41,4.059,133.68924573701474
42,4.158,136.19174622208584
43,4.257,138.70402571032912
44,4.356,141.18346794049535
45,4.455,143.6389461929598
46,4.554,146.0617146108682
47,4.6530000000000005,148.46092173009265
48,4.752,150.77342940304732
49,4.851,153.1538385753871
50,4.95,155.45313686994064
51,5.049,157.7568269611412
52,5.148,160.00655050977537
53,5.247,162.26902708362024
54,5.346,164.50504152050598
55,5.445,166.7367032376759
56,5.5440000000000005,168.95612684067203
57,5.643,171.15223284083368
58,5.742,173.3288849783604
59,5.841,175.42209892489666
60,5.94,177.56599880776105
61,6.039,179.6581696556741
62,6.138,181.75513595998382
63,6.237,183.79656792514027
64,6.336,185.82554181418925
65,6.4350000000000005,187.87768956577702
66,6.534,189.9091495845454
67,6.633,191.93751196005633
68,6.732,193.95456430363447
69,6.831,195.9516691026621
70,6.93,197.9334084051892
71,7.029,199.9080668075302
72,7.128,201.82421173258047
73,7.227,203.80313078303914
74,7.3260000000000005,205.70203426656633
75,7.425,207.59169658989867
76,7.524,209.43197881808248
77,7.623,211.29634774342242
78,7.722,213.15847654551885
79,7.821,215.0080602763062
80,7.92,216.85660132250473
81,8.019,218.6930320086817
82,8.118,220.51566123150894
83,8.217,222.32075506786373
84,8.316,224.1133470501402
85,8.415000000000001,225.85783507303825
86,8.514,227.68038355915405
87,8.613,229.41505035195382
88,8.712,231.15522869653626
89,8.811,232.87372992957944
90,8.91,234.54888137877492
91,9.009,236.2400640867835
92,9.108,237.93448566502707
93,9.207,239.6145758095787
94,9.306000000000001,241.2935248217467
95,9.405,242.97086202645596
96,9.504,244.63269018673145
97,9.603,246.28152591865125
98,9.702,247.91907940553665
99,9.801,249.55327689377168
100,9.9,251.157099736468
